id,funded_amnt,term,int_rate,grade,sub_grade,annual_inc,dti,home_ownership,addr_state,purpose,loan_status,delinq_2yrs,pub_rec,pub_rec_bankruptcies,revol_util,open_acc,total_acc,verification_status,issue_d,social_security_number,ssn,ssnumber,ssnumber1,drivers_license,dl,member_id,emp_title,title,c_desc,zip_code,c_url
21,34972.48, 60 months,14.89%,E,E4,133958.45,29.91,NONE,GA,other,Fully Paid,1,0,2,67.2%,5,42,Verified,Jul-09,100000020,100000020,100000020,900000020,DL500020,DL500020,MEMBER-21,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,389,https://example.com/loan/21
22,18646.36, 36 months,11.82%,G,G3,172348.69,29.01,OTHER,MI,renewable_energy,Fully Paid,3,3,NA,89.78%,1,13,Not Verified,Sep-18,100000021,100000021,100000021,900000021,DL500021,DL500021,MEMBER-22,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,689,https://example.com/loan/22
23,20304.48, 36 months,19.93%,E,E4,125540.88,4.46,OWN,IL,debt_consolidation,Fully Paid,4,1,2,77.05%,20,53,Verified,Oct-15,100000022,100000022,100000022,900000022,DL500022,DL500022,MEMBER-23,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,986,https://example.com/loan/23
24,18047.64, 60 months,18.44%,G,G4,58793.96,24.52,RENT,PA,house,Current,2,1,NA,47.12%,2,2,Not Verified,Dec-15,100000023,100000023,100000023,900000023,DL500023,DL500023,MEMBER-24,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,711,https://example.com/loan/24
25,18491.39, 36 months,8.86%,B,B2,117522.17,7.14,RENT,NC,home_improvement,Current,3,1,0,62.51%,14,32,Not Verified,Jul-14,100000024,100000024,100000024,900000024,DL500024,DL500024,MEMBER-25,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,711,https://example.com/loan/25
26,21273.89, 60 months,10.21%,D,D5,88517.95,5.03,RENT,CA,renewable_energy,Fully Paid,1,0,2,50.54%,29,4,Source Verified,Oct-17,100000025,100000025,100000025,900000025,DL500025,DL500025,MEMBER-26,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,796,https://example.com/loan/26
27,20013.09, 36 months,9.28%,D,D5,98155.56,12.96,OWN,GA,educational,Charged Off,3,2,2,21.27%,4,44,Not Verified,Jul-10,100000026,100000026,100000026,900000026,DL500026,DL500026,MEMBER-27,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,152,https://example.com/loan/27
28,19581.68, 36 months,19.1%,G,G1,161026.03,22.45,OTHER,TX,house,Fully Paid,4,0,NA,68.49%,24,35,Verified,Dec-08,100000027,100000027,100000027,900000027,DL500027,DL500027,MEMBER-28,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,969,https://example.com/loan/28
29,2067.7, 36 months,13.1%,C,C2,66272.77,12.44,RENT,MI,educational,Fully Paid,1,1,2,26.31%,5,5,Not Verified,Nov-09,100000028,100000028,100000028,900000028,DL500028,DL500028,MEMBER-29,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,466,https://example.com/loan/29
30,23997.17, 36 months,19.17%,E,E1,43314.78,0.03,NONE,CA,debt_consolidation,Fully Paid,2,2,0,22.19%,24,6,Not Verified,May-09,100000029,100000029,100000029,900000029,DL500029,DL500029,MEMBER-30,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,736,https://example.com/loan/30
31,31730.76, 36 months,14.61%,F,F2,67665.08,4.92,RENT,NY,credit_card,Fully Paid,2,0,0,37.53%,4,13,Source Verified,Mar-15,100000030,100000030,100000030,900000030,DL500030,DL500030,MEMBER-31,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,195,https://example.com/loan/31
32,28214.32, 60 months,15.78%,A,A4,44167.9,8.69,OWN,OH,home_improvement,Fully Paid,1,3,0,37.98%,12,14,Verified,Nov-15,100000031,100000031,100000031,900000031,DL500031,DL500031,MEMBER-32,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,819,https://example.com/loan/32
33,6738.05, 36 months,7.18%,G,G5,161134.23,24.68,OTHER,PA,educational,Fully Paid,1,2,NA,1.25%,26,17,Source Verified,Dec-16,100000032,100000032,100000032,900000032,DL500032,DL500032,MEMBER-33,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,746,https://example.com/loan/33
34,26618.22, 36 months,24.56%,G,G1,72672.07,12.91,RENT,TX,credit_card,Fully Paid,3,3,2,72.33%,17,8,Source Verified,Feb-16,100000033,100000033,100000033,900000033,DL500033,DL500033,MEMBER-34,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,995,https://example.com/loan/34
35,22198.03, 36 months,19.34%,D,D3,156630.76,12.95,OTHER,GA,vacation,Fully Paid,3,2,1,3.76%,19,10,Source Verified,Feb-17,100000034,100000034,100000034,900000034,DL500034,DL500034,MEMBER-35,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,360,https://example.com/loan/35
36,9085.86, 36 months,7.7%,D,D4,178421.5,1.41,MORTGAGE,GA,home_improvement,Current,1,3,NA,32.77%,11,36,Source Verified,Apr-10,100000035,100000035,100000035,900000035,DL500035,DL500035,MEMBER-36,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,750,https://example.com/loan/36
37,11996.0, 36 months,13.42%,G,G3,175736.34,11.12,MORTGAGE,NY,small_business,Fully Paid,1,1,1,5.04%,21,7,Not Verified,Nov-09,100000036,100000036,100000036,900000036,DL500036,DL500036,MEMBER-37,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,771,https://example.com/loan/37
38,3652.98, 36 months,8.36%,B,B1,40506.48,11.27,OTHER,IL,wedding,Current,4,1,NA,9.13%,29,15,Verified,Jun-17,100000037,100000037,100000037,900000037,DL500037,DL500037,MEMBER-38,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,101,https://example.com/loan/38
39,18038.52, 36 months,5.87%,D,D4,172808.45,11.19,OWN,CA,home_improvement,Fully Paid,3,0,2,66.9%,14,37,Source Verified,Aug-16,100000038,100000038,100000038,900000038,DL500038,DL500038,MEMBER-39,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,538,https://example.com/loan/39
40,9024.86, 60 months,18.09%,A,A4,72420.57,29.95,MORTGAGE,PA,vacation,Current,4,3,0,35.54%,6,13,Not Verified,Mar-08,100000039,100000039,100000039,900000039,DL500039,DL500039,MEMBER-40,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,299,https://example.com/loan/40
41,7322.15, 60 months,19.11%,C,C2,170249.86,6.27,OWN,CA,debt_consolidation,Fully Paid,1,2,NA,80.06%,19,45,Not Verified,Nov-17,100000040,100000040,100000040,900000040,DL500040,DL500040,MEMBER-41,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,878,https://example.com/loan/41
42,34109.53, 60 months,10.01%,C,C1,147786.1,5.09,OWN,IL,credit_card,Current,1,2,2,95.46%,29,39,Verified,Dec-16,100000041,100000041,100000041,900000041,DL500041,DL500041,MEMBER-42,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,810,https://example.com/loan/42
43,22127.79, 60 months,15.76%,C,C2,30131.72,1.94,OWN,MI,renewable_energy,Fully Paid,3,2,NA,9.91%,22,46,Verified,Jul-13,100000042,100000042,100000042,900000042,DL500042,DL500042,MEMBER-43,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,668,https://example.com/loan/43
44,27184.67, 36 months,6.97%,C,C2,163037.45,12.79,RENT,TX,medical,Charged Off,4,2,NA,47.85%,29,37,Verified,Oct-11,100000043,100000043,100000043,900000043,DL500043,DL500043,MEMBER-44,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,524,https://example.com/loan/44
45,32157.09, 36 months,8.12%,A,A3,144451.77,24.59,RENT,OH,house,Current,4,3,1,4.71%,21,53,Not Verified,Sep-16,100000044,100000044,100000044,900000044,DL500044,DL500044,MEMBER-45,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,249,https://example.com/loan/45
46,31206.56, 60 months,11.05%,B,B4,177935.75,16.52,OTHER,CA,debt_consolidation,Current,2,0,NA,67.03%,15,54,Not Verified,Mar-17,100000045,100000045,100000045,900000045,DL500045,DL500045,MEMBER-46,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,355,https://example.com/loan/46
47,9680.94, 60 months,19.49%,G,G1,134979.69,1.04,OTHER,FL,renewable_energy,Current,2,1,NA,77.59%,7,2,Not Verified,May-14,100000046,100000046,100000046,900000046,DL500046,DL500046,MEMBER-47,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,358,https://example.com/loan/47
48,24409.07, 36 months,12.81%,F,F4,47863.65,25.97,MORTGAGE,NY,vacation,Fully Paid,1,1,NA,48.03%,5,54,Not Verified,Jul-14,100000047,100000047,100000047,900000047,DL500047,DL500047,MEMBER-48,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,760,https://example.com/loan/48
49,909.26, 60 months,8.39%,C,C3,151655.9,15.98,RENT,GA,home_improvement,Charged Off,0,2,0,43.2%,6,15,Verified,Mar-15,100000048,100000048,100000048,900000048,DL500048,DL500048,MEMBER-49,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,351,https://example.com/loan/49
50,3720.74, 60 months,9.86%,F,F2,175870.24,15.49,OWN,FL,other,Current,3,0,1,61.54%,29,54,Verified,Oct-13,100000049,100000049,100000049,900000049,DL500049,DL500049,MEMBER-50,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,595,https://example.com/loan/50
51,24849.83, 60 months,13.16%,G,G4,141501.82,24.2,NONE,NY,home_improvement,Charged Off,0,2,1,28.75%,28,14,Source Verified,Oct-13,100000050,100000050,100000050,900000050,DL500050,DL500050,MEMBER-51,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,731,https://example.com/loan/51
52,12107.51, 36 months,23.29%,F,F2,178182.22,20.15,NONE,CA,educational,Current,4,3,NA,15.96%,13,31,Source Verified,Nov-16,100000051,100000051,100000051,900000051,DL500051,DL500051,MEMBER-52,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,603,https://example.com/loan/52
53,1913.66, 60 months,17.06%,C,C3,48728.37,28.08,NONE,GA,moving,Current,4,2,2,22.53%,11,46,Not Verified,Dec-08,100000052,100000052,100000052,900000052,DL500052,DL500052,MEMBER-53,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,905,https://example.com/loan/53
54,32958.95, 60 months,10.97%,G,G3,23718.24,10.89,OWN,PA,house,Fully Paid,2,0,1,73.69%,3,46,Verified,Sep-08,100000053,100000053,100000053,900000053,DL500053,DL500053,MEMBER-54,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,568,https://example.com/loan/54
55,3378.5, 36 months,16.96%,D,D5,124563.01,21.8,NONE,PA,renewable_energy,Charged Off,0,3,1,42.69%,29,41,Not Verified,Nov-08,100000054,100000054,100000054,900000054,DL500054,DL500054,MEMBER-55,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,214,https://example.com/loan/55
56,25963.02, 36 months,23.34%,F,F2,156844.87,7.82,RENT,CA,debt_consolidation,Current,2,2,1,17.94%,19,36,Not Verified,Dec-16,100000055,100000055,100000055,900000055,DL500055,DL500055,MEMBER-56,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,315,https://example.com/loan/56
57,23374.0, 36 months,12.4%,A,A3,50160.54,0.32,RENT,TX,medical,Current,1,2,NA,74.7%,11,5,Source Verified,Jan-17,100000056,100000056,100000056,900000056,DL500056,DL500056,MEMBER-57,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,323,https://example.com/loan/57
58,2842.49, 60 months,5.93%,D,D3,106643.61,6.55,MORTGAGE,OH,major_purchase,Charged Off,2,3,NA,21.22%,18,33,Verified,Apr-17,100000057,100000057,100000057,900000057,DL500057,DL500057,MEMBER-58,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,133,https://example.com/loan/58
59,32462.38, 36 months,22.38%,B,B1,153509.41,3.69,MORTGAGE,PA,wedding,Current,0,3,1,29.6%,4,37,Verified,Sep-12,100000058,100000058,100000058,900000058,DL500058,DL500058,MEMBER-59,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,897,https://example.com/loan/59
60,29493.41, 60 months,22.92%,A,A4,92479.02,15.48,MORTGAGE,PA,credit_card,Fully Paid,1,3,2,29.08%,15,46,Not Verified,Oct-13,100000059,100000059,100000059,900000059,DL500059,DL500059,MEMBER-60,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,515,https://example.com/loan/60
61,12387.44, 36 months,15.45%,E,E1,37342.92,23.83,OTHER,GA,home_improvement,Current,0,0,1,23.27%,20,9,Source Verified,Sep-14,100000060,100000060,100000060,900000060,DL500060,DL500060,MEMBER-61,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,197,https://example.com/loan/61
62,8299.02, 36 months,8.11%,D,D2,139016.2,26.39,OTHER,OH,vacation,Current,2,2,1,46.34%,19,26,Not Verified,Nov-14,100000061,100000061,100000061,900000061,DL500061,DL500061,MEMBER-62,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,657,https://example.com/loan/62
63,31955.17, 60 months,14.24%,C,C5,52118.57,1.16,NONE,OH,debt_consolidation,Fully Paid,4,1,NA,29.56%,7,50,Source Verified,Mar-11,100000062,100000062,100000062,900000062,DL500062,DL500062,MEMBER-63,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,141,https://example.com/loan/63
64,29861.42, 36 months,7.67%,G,G3,127313.71,17.55,OTHER,CA,credit_card,Fully Paid,2,1,1,64.24%,23,12,Verified,Apr-14,100000063,100000063,100000063,900000063,DL500063,DL500063,MEMBER-64,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,694,https://example.com/loan/64
65,5563.6, 60 months,11.3%,A,A4,102381.2,7.11,RENT,NC,credit_card,Fully Paid,4,2,0,24.76%,14,28,Not Verified,Jan-10,100000064,100000064,100000064,900000064,DL500064,DL500064,MEMBER-65,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,249,https://example.com/loan/65
66,27383.65, 36 months,22.13%,D,D2,164488.94,17.49,MORTGAGE,NY,credit_card,Current,2,3,NA,5.2%,25,44,Verified,May-16,100000065,100000065,100000065,900000065,DL500065,DL500065,MEMBER-66,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,504,https://example.com/loan/66
67,34601.75, 36 months,13.38%,A,A4,196570.31,2.23,NONE,FL,major_purchase,Current,4,3,0,64.78%,11,28,Source Verified,Jun-18,100000066,100000066,100000066,900000066,DL500066,DL500066,MEMBER-67,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,849,https://example.com/loan/67
68,5925.44, 60 months,14.79%,G,G2,74645.64,17.32,OWN,OH,home_improvement,Fully Paid,0,2,2,92.89%,16,27,Not Verified,Feb-15,100000067,100000067,100000067,900000067,DL500067,DL500067,MEMBER-68,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,912,https://example.com/loan/68
69,12743.62, 36 months,11.12%,C,C1,109819.9,4.53,RENT,TX,moving,Current,4,1,NA,37.86%,13,56,Verified,Oct-13,100000068,100000068,100000068,900000068,DL500068,DL500068,MEMBER-69,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,337,https://example.com/loan/69
70,2902.93, 60 months,20.82%,E,E1,154837.69,18.72,RENT,FL,debt_consolidation,Current,0,3,2,22.11%,20,40,Not Verified,Jan-18,100000069,100000069,100000069,900000069,DL500069,DL500069,MEMBER-70,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,944,https://example.com/loan/70
71,34078.49, 36 months,8.96%,A,A3,163327.27,12.07,OTHER,GA,house,Fully Paid,0,1,0,27.58%,19,6,Not Verified,Jan-16,100000070,100000070,100000070,900000070,DL500070,DL500070,MEMBER-71,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,512,https://example.com/loan/71
72,3283.35, 36 months,12.18%,F,F1,124644.47,11.41,RENT,PA,credit_card,Fully Paid,4,3,0,97.04%,12,4,Source Verified,Jun-08,100000071,100000071,100000071,900000071,DL500071,DL500071,MEMBER-72,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,698,https://example.com/loan/72
73,34769.49, 60 months,23.44%,G,G5,179276.08,1.4,OWN,FL,car,Fully Paid,0,2,0,37.51%,26,5,Not Verified,Mar-17,100000072,100000072,100000072,900000072,DL500072,DL500072,MEMBER-73,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,262,https://example.com/loan/73
74,29513.17, 60 months,10.49%,A,A2,55347.61,28.38,OTHER,NY,small_business,Fully Paid,2,3,0,84.15%,16,36,Source Verified,Nov-13,100000073,100000073,100000073,900000073,DL500073,DL500073,MEMBER-74,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,374,https://example.com/loan/74
75,33150.8, 36 months,8.32%,E,E3,77306.78,4.79,OTHER,FL,other,Fully Paid,0,2,1,65.08%,3,46,Source Verified,Oct-16,100000074,100000074,100000074,900000074,DL500074,DL500074,MEMBER-75,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,727,https://example.com/loan/75
76,9211.35, 60 months,17.57%,G,G5,171071.58,28.32,OTHER,GA,moving,Current,3,0,1,31.65%,17,16,Source Verified,Jul-14,100000075,100000075,100000075,900000075,DL500075,DL500075,MEMBER-76,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,496,https://example.com/loan/76
77,18435.12, 60 months,22.68%,E,E4,80164.07,6.19,RENT,PA,medical,Current,2,1,NA,68.73%,22,19,Source Verified,Mar-16,100000076,100000076,100000076,900000076,DL500076,DL500076,MEMBER-77,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,459,https://example.com/loan/77
78,5057.36, 60 months,16.55%,C,C5,133271.36,18.97,RENT,IL,credit_card,Current,0,2,0,92.72%,14,9,Source Verified,Jan-09,100000077,100000077,100000077,900000077,DL500077,DL500077,MEMBER-78,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,548,https://example.com/loan/78
79,9797.41, 60 months,14.08%,E,E5,184635.22,13.76,NONE,CA,credit_card,Current,2,1,NA,32.31%,7,55,Not Verified,Oct-13,100000078,100000078,100000078,900000078,DL500078,DL500078,MEMBER-79,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,704,https://example.com/loan/79
80,22382.28, 36 months,22.82%,D,D2,35889.82,18.22,NONE,GA,home_improvement,Charged Off,0,3,NA,30.16%,19,27,Verified,Nov-17,100000079,100000079,100000079,900000079,DL500079,DL500079,MEMBER-80,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,444,https://example.com/loan/80
81,9126.08, 60 months,9.55%,G,G4,64125.45,14.15,MORTGAGE,IL,major_purchase,Current,2,3,NA,79.8%,12,43,Source Verified,May-12,100000080,100000080,100000080,900000080,DL500080,DL500080,MEMBER-81,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,524,https://example.com/loan/81
82,26251.53, 36 months,10.36%,G,G4,28197.02,0.86,RENT,TX,major_purchase,Charged Off,1,1,1,86.67%,25,18,Verified,Mar-10,100000081,100000081,100000081,900000081,DL500081,DL500081,MEMBER-82,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,572,https://example.com/loan/82
83,23333.75, 60 months,19.64%,G,G1,26602.32,27.31,MORTGAGE,PA,medical,Fully Paid,1,2,2,9.78%,16,2,Not Verified,Apr-10,100000082,100000082,100000082,900000082,DL500082,DL500082,MEMBER-83,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,601,https://example.com/loan/83
84,19522.65, 60 months,22.22%,F,F4,51890.4,3.14,OTHER,MI,educational,Fully Paid,2,2,2,77.58%,20,22,Not Verified,Jun-09,100000083,100000083,100000083,900000083,DL500083,DL500083,MEMBER-84,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,416,https://example.com/loan/84
85,3160.82, 60 months,11.78%,D,D1,65822.07,19.47,MORTGAGE,NY,car,Current,2,0,0,34.4%,17,58,Verified,Jul-09,100000084,100000084,100000084,900000084,DL500084,DL500084,MEMBER-85,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,263,https://example.com/loan/85
86,6446.09, 60 months,18.07%,C,C1,192819.77,22.99,OTHER,NY,medical,Current,3,1,NA,8.81%,6,4,Verified,Jan-13,100000085,100000085,100000085,900000085,DL500085,DL500085,MEMBER-86,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,681,https://example.com/loan/86
87,24968.65, 36 months,11.55%,C,C5,197903.53,8.51,OTHER,FL,home_improvement,Charged Off,4,2,0,70.27%,24,44,Source Verified,Mar-09,100000086,100000086,100000086,900000086,DL500086,DL500086,MEMBER-87,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,523,https://example.com/loan/87
88,1729.09, 60 months,16.78%,F,F5,62470.81,24.15,OWN,FL,house,Charged Off,0,1,0,45.13%,16,20,Not Verified,Apr-09,100000087,100000087,100000087,900000087,DL500087,DL500087,MEMBER-88,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,563,https://example.com/loan/88
