record_id,customer_id,account_balance,customer_segment,customer_lifecycle_stage,customer_satisfaction_score,customer_churn_probability,customer_transaction_count,customer_transaction_value,product_id,product_name,product_type,product_recommendation,product_recommendation_status,product_recommendation_date,recommendation_score,product_sales_amount,product_sales_date,customer_name,customer_email
FPR-00032,CUST-C0032,35607.21,High Net Worth,At Risk,4.5008,0.150454,56,172289.57,PROD-FS-032,Wealth Advisory,Deposit,Term Life,Rejected,2025-08-05,0.513158,11184.77,,Persona Customer 32,customer32@example.com
FPR-00033,CUST-C0158,63153.27,Retail,At Risk,2.1012,0.414462,346,35470.04,PROD-FS-033,Premium Savings,Insurance,Wealth Advisory,Open,2025-10-04,0.495945,18461.07,,Persona Customer 33,customer33@example.com
FPR-00034,CUST-C0248,99289.41,Small Business,At Risk,3.1947,0.63529,266,55279.25,PROD-FS-034,Wealth Advisory,Insurance,Premium Savings,Approved,2025-02-22,0.665491,15478.13,2025-03-18,Persona Customer 34,customer34@example.com
FPR-00035,CUST-C0065,24123.81,High Net Worth,Mature,1.8442,0.462548,405,95202.51,PROD-FS-035,Term Life,Lending,Auto Loan,Declined,2024-01-26,0.525085,17950.57,,Persona Customer 35,customer35@example.com
FPR-00036,CUST-C0080,78362.18,Small Business,Onboarding,2.8613,0.257055,462,67279.86,PROD-FS-036,Wealth Advisory,Credit,Rewards Credit Card,Declined,2024-08-31,0.91241,1846.71,,Persona Customer 36,customer36@example.com
FPR-00037,CUST-C0013,26795.98,High Net Worth,Mature,4.6581,0.278193,392,111971.23,PROD-FS-037,Rewards Credit Card,Deposit,Auto Loan,Rejected,2024-07-19,0.256501,4912.28,,Persona Customer 37,customer37@example.com
FPR-00038,CUST-C0117,63207.39,High Net Worth,At Risk,2.1352,0.184687,443,161007.79,PROD-FS-038,Term Life,Insurance,Wealth Advisory,Approved,2025-06-27,0.067006,19318.35,2025-08-08,Persona Customer 38,customer38@example.com
FPR-00039,CUST-C0112,98342.82,Institutional,Onboarding,4.0159,0.276159,370,140624.24,PROD-FS-039,Term Life,Insurance,Wealth Advisory,Declined,2024-06-20,0.650392,3234.37,,Persona Customer 39,customer39@example.com
FPR-00040,CUST-C0129,11515.88,Retail,At Risk,2.3332,0.03974,341,71590.83,PROD-FS-040,Wealth Advisory,Deposit,Rewards Credit Card,Rejected,2024-05-15,0.364628,10876.19,,Persona Customer 40,customer40@example.com
FPR-00041,CUST-C0133,28037.7,Institutional,Growth,4.8051,0.047677,259,181278.44,PROD-FS-041,Auto Loan,Advisory,Premium Savings,Approved,2025-06-10,0.203608,16210.36,2025-07-26,Persona Customer 41,customer41@example.com
FPR-00042,CUST-C0093,67809.93,Institutional,Mature,4.1453,0.720218,302,19900.46,PROD-FS-042,Term Life,Lending,Auto Loan,Declined,2024-10-21,0.286996,14098.97,,Persona Customer 42,customer42@example.com
FPR-00043,CUST-C0038,90000.34,Institutional,Onboarding,2.0766,0.986752,108,198824.62,PROD-FS-043,Wealth Advisory,Lending,Premium Savings,Rejected,2024-01-17,0.404606,19036.19,,Persona Customer 43,customer43@example.com
FPR-00044,CUST-C0179,37250.97,High Net Worth,At Risk,2.6407,0.810606,417,91533.43,PROD-FS-044,Term Life,Insurance,Wealth Advisory,Rejected,2024-08-14,0.039682,1460.0,,Persona Customer 44,customer44@example.com
FPR-00045,CUST-C0076,2043.4,High Net Worth,Churned,3.4562,0.041979,170,98084.78,PROD-FS-045,Rewards Credit Card,Lending,Premium Savings,Rejected,2024-12-21,0.890602,3959.59,,Persona Customer 45,customer45@example.com
FPR-00046,CUST-C0245,89372.34,Small Business,Onboarding,3.2232,0.932632,252,111701.41,PROD-FS-046,Rewards Credit Card,Credit,Wealth Advisory,Declined,2024-07-07,0.955483,6377.36,,Persona Customer 46,customer46@example.com
FPR-00047,CUST-C0171,70553.6,Retail,Mature,2.3129,0.144064,14,82195.72,PROD-FS-047,Auto Loan,Credit,Auto Loan,Rejected,2025-05-09,0.609501,1916.43,,Persona Customer 47,customer47@example.com
FPR-00048,CUST-C0204,4597.86,High Net Worth,Growth,4.1451,0.26757,160,87628.89,PROD-FS-048,Premium Savings,Credit,Term Life,Pending,2024-02-16,0.452825,376.32,,Persona Customer 48,customer48@example.com
FPR-00049,CUST-C0229,9406.25,Small Business,Onboarding,2.9796,0.518574,194,34560.93,PROD-FS-049,Wealth Advisory,Deposit,Term Life,Open,2024-01-25,0.982008,7358.63,,Persona Customer 49,customer49@example.com
FPR-00050,CUST-C0124,88336.12,Corporate,Onboarding,2.3622,0.117885,186,95663.08,PROD-FS-050,Premium Savings,Credit,Term Life,Accepted,2025-03-27,0.780937,18728.25,2025-04-12,Persona Customer 50,customer50@example.com
FPR-00051,CUST-C0180,92207.99,Corporate,Onboarding,2.7477,0.076783,225,82835.02,PROD-FS-001,Term Life,Credit,Term Life,Pending,2025-11-17,0.66151,15796.82,,Persona Customer 51,customer51@example.com
FPR-00052,CUST-C0101,77391.4,Retail,Onboarding,4.7199,0.696814,19,79630.21,PROD-FS-002,Auto Loan,Deposit,Auto Loan,Accepted,2024-10-07,0.131046,18980.77,2024-12-02,Persona Customer 52,customer52@example.com
FPR-00053,CUST-C0196,15074.15,Retail,Mature,3.4969,0.104808,116,19384.36,PROD-FS-003,Premium Savings,Lending,Term Life,Accepted,2025-05-04,0.136228,8939.95,2025-06-08,Persona Customer 53,customer53@example.com
FPR-00054,CUST-C0041,43171.41,Corporate,Onboarding,1.4189,0.987525,352,142138.09,PROD-FS-004,Rewards Credit Card,Insurance,Wealth Advisory,Rejected,2025-04-12,0.272896,19543.13,,Persona Customer 54,customer54@example.com
FPR-00055,CUST-C0203,81555.27,Retail,Mature,3.8444,0.943349,129,180173.44,PROD-FS-005,Auto Loan,Deposit,Auto Loan,Rejected,2025-11-27,0.31533,18738.46,,Persona Customer 55,customer55@example.com
FPR-00056,CUST-C0172,66334.76,Corporate,Growth,3.4357,0.260579,48,118430.51,PROD-FS-006,Premium Savings,Advisory,Rewards Credit Card,Declined,2025-01-04,0.217041,18304.19,,Persona Customer 56,customer56@example.com
FPR-00057,CUST-C0241,62954.15,Small Business,Mature,1.5851,0.733354,444,149646.63,PROD-FS-007,Premium Savings,Credit,Rewards Credit Card,Accepted,2025-08-04,0.623961,1808.19,2025-08-31,Persona Customer 57,customer57@example.com
FPR-00058,CUST-C0067,89063.43,Corporate,Mature,4.2756,0.157288,338,120276.43,PROD-FS-008,Auto Loan,Insurance,Wealth Advisory,Accepted,2025-07-04,0.549223,9837.07,2025-08-19,Persona Customer 58,customer58@example.com
FPR-00059,CUST-C0146,23169.74,Institutional,Churned,4.712,0.566079,473,196674.21,PROD-FS-009,Rewards Credit Card,Advisory,Wealth Advisory,Accepted,2025-07-10,0.140611,4358.3,2025-08-02,Persona Customer 59,customer59@example.com
FPR-00060,CUST-C0171,50984.04,Small Business,Mature,1.7561,0.901309,358,140611.97,PROD-FS-010,Wealth Advisory,Credit,Rewards Credit Card,Accepted,2025-08-25,0.072801,5548.48,2025-08-30,Persona Customer 60,customer60@example.com
FPR-00061,CUST-C0115,35508.89,High Net Worth,Mature,4.0133,0.74302,401,10600.4,PROD-FS-011,Rewards Credit Card,Advisory,Wealth Advisory,Declined,2024-03-31,0.547081,7208.0,,Persona Customer 61,customer61@example.com
FPR-00062,CUST-C0031,16874.11,Corporate,At Risk,2.1377,0.646347,22,118807.17,PROD-FS-012,Premium Savings,Advisory,Wealth Advisory,Declined,2024-06-11,0.016938,12070.65,,Persona Customer 62,customer62@example.com
FPR-00063,CUST-C0174,47270.29,Institutional,Onboarding,1.1308,0.332226,220,182342.07,PROD-FS-013,Term Life,Advisory,Rewards Credit Card,Declined,2025-08-21,0.575388,2958.3,,Persona Customer 63,customer63@example.com
FPR-00064,CUST-C0143,39345.95,Corporate,Onboarding,4.5477,0.443681,298,182283.81,PROD-FS-014,Wealth Advisory,Lending,Premium Savings,Approved,2025-07-02,0.948234,5756.31,2025-07-25,Persona Customer 64,customer64@example.com
FPR-00065,CUST-C0236,55836.72,Corporate,Churned,2.7925,0.157463,354,149092.68,PROD-FS-015,Rewards Credit Card,Deposit,Wealth Advisory,Accepted,2025-11-05,0.149543,7186.94,2025-12-31,Persona Customer 65,customer65@example.com
FPR-00066,CUST-C0116,79415.65,Institutional,At Risk,1.6812,0.3775,91,120935.9,PROD-FS-016,Auto Loan,Lending,Wealth Advisory,Declined,2025-06-22,0.513055,5974.66,,Persona Customer 66,customer66@example.com
FPR-00067,CUST-C0037,30520.43,Retail,At Risk,3.3346,0.520731,286,179602.54,PROD-FS-017,Term Life,Credit,Auto Loan,Accepted,2025-08-26,0.200102,9459.23,2025-10-03,Persona Customer 67,customer67@example.com
FPR-00068,CUST-C0167,3546.9,High Net Worth,Churned,1.5798,0.18438,375,13622.83,PROD-FS-018,Auto Loan,Advisory,Rewards Credit Card,Approved,2024-01-18,0.411944,16431.09,2024-02-03,Persona Customer 68,customer68@example.com
FPR-00069,CUST-C0045,15940.33,Institutional,At Risk,4.5148,0.808493,85,179436.13,PROD-FS-019,Wealth Advisory,Advisory,Term Life,Open,2024-09-25,0.323415,8894.27,,Persona Customer 69,customer69@example.com
FPR-00070,CUST-C0005,99940.7,Retail,At Risk,4.9726,0.258582,47,128313.88,PROD-FS-020,Auto Loan,Credit,Term Life,Open,2025-04-03,0.762358,3635.83,,Persona Customer 70,customer70@example.com
FPR-00071,CUST-C0014,92507.18,Retail,At Risk,2.5936,0.21487,367,70682.35,PROD-FS-021,Wealth Advisory,Credit,Term Life,Declined,2024-03-08,0.254413,9572.27,,Persona Customer 71,customer71@example.com
FPR-00072,CUST-C0070,43895.74,High Net Worth,Onboarding,2.5371,0.889821,364,77652.7,PROD-FS-022,Wealth Advisory,Credit,Term Life,Pending,2024-10-19,0.603795,5407.09,,Persona Customer 72,customer72@example.com
FPR-00073,CUST-C0086,20702.57,Retail,Churned,2.591,0.115528,150,88219.3,PROD-FS-023,Term Life,Credit,Auto Loan,Pending,2024-10-15,0.084609,11505.72,,Persona Customer 73,customer73@example.com
FPR-00074,CUST-C0187,92769.11,Retail,At Risk,2.1558,0.129345,309,132260.4,PROD-FS-024,Term Life,Advisory,Auto Loan,Open,2025-01-03,0.973785,11500.68,,Persona Customer 74,customer74@example.com
FPR-00075,CUST-C0162,79793.4,Small Business,Churned,2.454,0.678318,13,174774.25,PROD-FS-025,Wealth Advisory,Credit,Auto Loan,Declined,2025-03-22,0.52255,8227.57,,Persona Customer 75,customer75@example.com
FPR-00076,CUST-C0105,50935.59,High Net Worth,Churned,3.5646,0.795498,243,179203.78,PROD-FS-026,Term Life,Lending,Premium Savings,Approved,2025-01-07,0.314768,5790.73,2025-02-28,Persona Customer 76,customer76@example.com
FPR-00077,CUST-C0021,33188.08,Retail,Churned,1.7505,0.395989,314,724.28,PROD-FS-027,Premium Savings,Credit,Wealth Advisory,Approved,2024-06-04,0.856711,19885.62,2024-06-26,Persona Customer 77,customer77@example.com
FPR-00078,CUST-C0071,83910.57,Retail,At Risk,1.4687,0.918873,475,129710.02,PROD-FS-028,Auto Loan,Deposit,Premium Savings,Rejected,2025-06-14,0.430581,17322.81,,Persona Customer 78,customer78@example.com
FPR-00079,CUST-C0138,85779.51,Institutional,Churned,4.071,0.359315,125,71282.94,PROD-FS-029,Rewards Credit Card,Lending,Term Life,Accepted,2025-08-15,0.570513,10745.86,2025-09-30,Persona Customer 79,customer79@example.com
FPR-00080,CUST-C0165,8556.85,High Net Worth,Growth,1.6889,0.290349,143,139749.53,PROD-FS-030,Wealth Advisory,Insurance,Premium Savings,Approved,2025-02-12,0.06282,18134.45,2025-03-28,Persona Customer 80,customer80@example.com
FPR-00081,CUST-C0030,22015.1,Corporate,Mature,1.8335,0.925067,418,141279.55,PROD-FS-031,Term Life,Advisory,Rewards Credit Card,Approved,2024-06-04,0.616018,1964.54,2024-06-14,Persona Customer 81,customer81@example.com
FPR-00082,CUST-C0205,94059.55,High Net Worth,At Risk,4.4643,0.493223,102,114070.12,PROD-FS-032,Premium Savings,Deposit,Wealth Advisory,Accepted,2025-03-08,0.128903,16694.78,2025-04-30,Persona Customer 82,customer82@example.com
FPR-00083,CUST-C0012,56368.57,High Net Worth,At Risk,3.7638,0.310376,228,36818.78,PROD-FS-033,Rewards Credit Card,Credit,Wealth Advisory,Accepted,2024-02-24,0.292769,17325.17,2024-04-05,Persona Customer 83,customer83@example.com
FPR-00084,CUST-C0130,77736.31,Corporate,Mature,3.2664,0.945872,477,7792.8,PROD-FS-034,Rewards Credit Card,Advisory,Auto Loan,Approved,2025-04-12,0.289483,10499.86,2025-05-10,Persona Customer 84,customer84@example.com
FPR-00085,CUST-C0144,86097.76,Small Business,Growth,2.2607,0.7988,317,46557.55,PROD-FS-035,Term Life,Credit,Term Life,Rejected,2025-10-06,0.638588,18982.06,,Persona Customer 85,customer85@example.com
FPR-00086,CUST-C0039,42410.96,High Net Worth,At Risk,4.9362,0.99444,426,46327.21,PROD-FS-036,Term Life,Insurance,Wealth Advisory,Accepted,2024-07-13,0.050545,12262.2,2024-09-02,Persona Customer 86,customer86@example.com
FPR-00087,CUST-C0088,49867.87,Retail,Growth,1.3609,0.697546,445,48621.17,PROD-FS-037,Wealth Advisory,Lending,Premium Savings,Approved,2025-05-25,0.011326,1109.54,2025-07-13,Persona Customer 87,customer87@example.com
FPR-00088,CUST-C0041,21565.44,Institutional,Onboarding,4.4977,0.683984,262,191461.32,PROD-FS-038,Auto Loan,Insurance,Term Life,Open,2024-03-17,0.6662,12338.49,,Persona Customer 88,customer88@example.com
FPR-00089,CUST-C0242,56688.02,Retail,At Risk,4.8298,0.264143,205,36732.23,PROD-FS-039,Premium Savings,Insurance,Premium Savings,Accepted,2024-10-21,0.18872,10164.81,2024-10-26,Persona Customer 89,customer89@example.com
FPR-00090,CUST-C0149,73209.14,High Net Worth,Churned,1.9097,0.753691,460,51916.93,PROD-FS-040,Auto Loan,Advisory,Premium Savings,Declined,2024-04-24,0.978269,18189.63,,Persona Customer 90,customer90@example.com
FPR-00091,CUST-C0098,56688.65,Institutional,At Risk,4.1687,0.262448,342,147516.6,PROD-FS-041,Premium Savings,Insurance,Term Life,Pending,2024-07-29,0.893007,13204.65,,Persona Customer 91,customer91@example.com
FPR-00092,CUST-C0197,8144.05,Institutional,Growth,2.5893,0.999475,328,89507.48,PROD-FS-042,Auto Loan,Lending,Rewards Credit Card,Open,2025-09-03,0.899374,1516.24,,Persona Customer 92,customer92@example.com
FPR-00093,CUST-C0129,52126.57,Small Business,Onboarding,4.6501,0.556647,300,74300.31,PROD-FS-043,Auto Loan,Credit,Term Life,Approved,2025-10-17,0.357254,11468.12,2025-11-22,Persona Customer 93,customer93@example.com
FPR-00094,CUST-C0194,13910.84,Retail,Churned,1.0283,0.743615,492,35276.35,PROD-FS-044,Premium Savings,Credit,Term Life,Rejected,2024-10-17,0.694185,10983.7,,Persona Customer 94,customer94@example.com
FPR-00095,CUST-C0176,75076.24,Retail,Onboarding,2.5051,0.090458,42,91068.31,PROD-FS-045,Premium Savings,Insurance,Premium Savings,Pending,2024-10-21,0.499177,18815.64,,Persona Customer 95,customer95@example.com
FPR-00096,CUST-C0047,71852.77,Institutional,At Risk,3.455,0.832639,193,36043.07,PROD-FS-046,Premium Savings,Advisory,Premium Savings,Accepted,2025-11-15,0.573261,12407.84,2026-01-13,Persona Customer 96,customer96@example.com
FPR-00097,CUST-C0089,21147.36,Corporate,Churned,1.3086,0.815326,363,27843.66,PROD-FS-047,Auto Loan,Deposit,Premium Savings,Accepted,2024-09-18,0.186033,1950.43,2024-09-23,Persona Customer 97,customer97@example.com
FPR-00098,CUST-C0096,49820.88,High Net Worth,Churned,2.6991,0.84052,63,5289.34,PROD-FS-048,Premium Savings,Insurance,Auto Loan,Accepted,2024-04-21,0.667211,1844.36,2024-05-14,Persona Customer 98,customer98@example.com
FPR-00099,CUST-C0002,40851.75,Retail,Mature,4.7586,0.336236,167,177429.03,PROD-FS-049,Rewards Credit Card,Credit,Term Life,Rejected,2025-05-24,0.302007,5589.07,,Persona Customer 99,customer99@example.com
FPR-00100,CUST-C0093,94726.96,Corporate,At Risk,4.7,0.091527,148,170640.74,PROD-FS-050,Rewards Credit Card,Insurance,Wealth Advisory,Approved,2025-05-13,0.8787,18640.38,2025-06-27,Persona Customer 100,customer100@example.com
FPR-00101,CUST-C0084,58195.25,Small Business,Churned,1.6024,0.942272,284,199820.6,PROD-FS-001,Premium Savings,Lending,Wealth Advisory,Open,2024-12-03,0.282865,6342.04,,Persona Customer 101,customer101@example.com
FPR-00102,CUST-C0073,16301.32,Corporate,Churned,1.7114,0.068229,256,23916.38,PROD-FS-002,Auto Loan,Deposit,Premium Savings,Approved,2024-02-16,0.410281,9163.0,2024-02-23,Persona Customer 102,customer102@example.com
FPR-00103,CUST-C0151,86063.07,Corporate,Churned,1.4839,0.877979,305,94607.45,PROD-FS-003,Rewards Credit Card,Lending,Term Life,Rejected,2025-01-27,0.44057,11922.69,,Persona Customer 103,customer103@example.com
FPR-00104,CUST-C0009,68037.62,High Net Worth,Churned,1.8033,0.23944,154,170268.9,PROD-FS-004,Wealth Advisory,Advisory,Wealth Advisory,Open,2025-01-31,0.934191,15593.06,,Persona Customer 104,customer104@example.com
FPR-00105,CUST-C0048,56344.77,Retail,At Risk,1.0177,0.560268,241,31275.55,PROD-FS-005,Auto Loan,Credit,Wealth Advisory,Pending,2025-01-26,0.770727,12543.78,,Persona Customer 105,customer105@example.com
FPR-00106,CUST-C0094,34467.5,Corporate,Onboarding,3.0358,0.508318,154,72748.65,PROD-FS-006,Rewards Credit Card,Lending,Term Life,Approved,2025-06-19,0.751181,6672.62,2025-07-22,Persona Customer 106,customer106@example.com
FPR-00107,CUST-C0039,57853.91,High Net Worth,Onboarding,2.3878,0.285237,301,90085.87,PROD-FS-007,Term Life,Lending,Term Life,Approved,2025-09-10,0.715672,12133.25,2025-10-08,Persona Customer 107,customer107@example.com
FPR-00108,CUST-C0111,67463.82,Corporate,Growth,3.2947,0.075606,340,178740.43,PROD-FS-008,Term Life,Insurance,Premium Savings,Accepted,2025-05-13,0.769275,14774.97,2025-05-31,Persona Customer 108,customer108@example.com
FPR-00109,CUST-C0232,99657.97,Institutional,Churned,2.1977,0.899625,344,66665.18,PROD-FS-009,Rewards Credit Card,Credit,Auto Loan,Approved,2025-06-30,0.877272,3681.78,2025-08-26,Persona Customer 109,customer109@example.com
FPR-00110,CUST-C0113,41718.71,Retail,Growth,3.4516,0.851719,399,3273.29,PROD-FS-010,Premium Savings,Insurance,Rewards Credit Card,Approved,2024-06-13,0.772804,17056.44,2024-06-23,Persona Customer 110,customer110@example.com
FPR-00111,CUST-C0076,82299.76,Retail,Churned,4.2523,0.126883,495,91227.41,PROD-FS-011,Wealth Advisory,Lending,Wealth Advisory,Accepted,2024-07-10,0.335027,6470.19,2024-07-20,Persona Customer 111,customer111@example.com
FPR-00112,CUST-C0002,28450.64,Small Business,Churned,3.0314,0.162736,50,1046.39,PROD-FS-012,Wealth Advisory,Advisory,Auto Loan,Accepted,2024-08-11,0.228741,4036.11,2024-09-07,Persona Customer 112,customer112@example.com
FPR-00113,CUST-C0026,22377.41,Retail,Churned,3.497,0.311503,207,52283.35,PROD-FS-013,Wealth Advisory,Credit,Premium Savings,Accepted,2025-09-12,0.061511,14002.11,2025-10-25,Persona Customer 113,customer113@example.com
FPR-00114,CUST-C0143,42488.0,High Net Worth,At Risk,3.6345,0.606333,260,61935.11,PROD-FS-014,Premium Savings,Insurance,Premium Savings,Declined,2024-02-13,0.010704,19891.1,,Persona Customer 114,customer114@example.com
FPR-00115,CUST-C0025,66561.18,Retail,At Risk,4.4251,0.732263,142,149800.07,PROD-FS-015,Rewards Credit Card,Insurance,Term Life,Declined,2024-05-07,0.588985,11331.65,,Persona Customer 115,customer115@example.com
FPR-00116,CUST-C0161,63887.0,Retail,Growth,4.1614,0.066044,476,103459.23,PROD-FS-016,Wealth Advisory,Credit,Premium Savings,Pending,2024-01-29,0.334928,3573.13,,Persona Customer 116,customer116@example.com
FPR-00117,CUST-C0220,90383.44,High Net Worth,Churned,3.5666,0.611057,376,192432.96,PROD-FS-017,Wealth Advisory,Credit,Term Life,Open,2025-09-05,0.911292,16066.05,,Persona Customer 117,customer117@example.com
